id,title,type,genres,averageRating,numVotes,releaseYear,
tt0057115,The Great Escape,movie,"Adventure, Drama, Thriller",8.2,263439,1963,
tt1305806,The Secret in Their Eyes,movie,"Drama, Mystery, Romance",8.2,227022,2009,
tt10272386,The Father,movie,"Drama, Mystery",8.2,203007,2020,
tt4729430,Klaus,movie,"Adventure, Animation, Comedy",8.2,197097,2019,
tt0046912,Dial M for Murder,movie,"Crime, Thriller",8.2,193302,1954,
tt0042876,Rashomon,movie,"Crime, Drama, Mystery",8.2,185016,1950,
tt10698680,K.G.F: Chapter 2,movie,"Action, Crime, Drama",8.2,154278,2022,
tt0042192,All About Eve,movie,Drama,8.2,141478,1950,
tt0089881,Ran,movie,"Action, Drama, War",8.2,139494,1985,
tt0012349,The Kid,movie,"Comedy, Drama, Family",8.2,137905,1921,
tt0040897,The Treasure of the Sierra Madre,movie,"Adventure, Drama, Western",8.2,134670,1948,
tt0055630,Yojimbo,movie,"Action, Drama, Thriller",8.2,134378,1961,
tt4849438,Baahubali 2: The Conclusion,movie,"Action, Drama",8.2,118770,2017,
tt5813916,The Mountain II,movie,"Action, Drama, War",8.2,110959,2016,
tt1954470,Gangs of Wasseypur,movie,"Action, Comedy, Crime",8.2,106002,2012,
tt8108198,Andhadhun,movie,"Crime, Mystery, Thriller",8.2,105952,2018,
tt15327088,Kantara,movie,"Action, Adventure, Drama",8.2,105579,2022,
tt7838252,K.G.F: Chapter 1,movie,"Action, Crime, Drama",8.2,101596,2018,
tt0367110,Swades,movie,"Drama, Musical",8.2,100147,2004,
tt4430212,Drishyam,movie,"Crime, Drama, Mystery",8.2,98435,2015,
tt0476735,My Father and My Son,movie,"Drama, Family",8.2,94851,2005,
tt1562872,Zindagi Na Milegi Dobara,movie,"Comedy, Drama, Musical",8.2,88350,2011,
tt0118849,Children of Heaven,movie,"Drama, Family, Sport",8.2,82957,1997,
tt1645089,Inside Job,movie,"Crime, Documentary",8.2,80212,2010,
tt11032374,Demon Slayer: Kimetsu no Yaiba - The movie: Mugen Train,movie,"Action, Adventure, Animation",8.2,78749,2020,
tt0242519,Hera Pheri,movie,"Action, Comedy, Crime",8.2,74396,2000,
tt8291224,Uri: The Surgical Strike,movie,"Action, Drama, History",8.2,74215,2019,
tt2125608,Searching for Sugar Man,movie,"Biography, Documentary, Music",8.2,73859,2012,
tt2356180,Bhaag Milkha Bhaag,movie,"Biography, Drama, Sport",8.2,73515,2013,
tt8239946,Tumbbad,movie,"Drama, Fantasy, Horror",8.2,65362,2018,
tt0015324,Sherlock Jr.,movie,"Action, Comedy, Romance",8.2,59118,1924,
tt10431500,Miracle in Cell No. 7,movie,Drama,8.2,57492,2019,
